NUM_CLIENTS,NUM_ROUNDS,BATCH_SIZE,NOISE_MULTIPLIER,EVAL_RATIO,EXECUTION_TIME
2,5,128,4,0.75,255.8754961490631
2,5,128,4,0.9,134.45904541015625
2,5,128,4,1,135.7373616695404
2,5,256,0.1,0.1,140.91676115989685
2,5,256,0.1,0.3,131.43492126464844
2,5,256,0.1,0.75,133.8658504486084
2,5,256,0.1,0.9,133.77938604354858
2,5,256,0.1,1,131.48793268203735
2,5,256,0.4,0.1,130.35404324531555
2,5,256,0.4,0.3,133.8815155029297
2,5,256,0.4,0.75,134.3236072063446
2,5,256,0.4,0.9,133.86496376991272
2,5,256,0.4,1,134.21169233322144
2,5,256,1.1,0.1,140.91910576820374
2,5,256,1.1,0.3,151.09258246421814
2,5,256,1.1,0.75,141.2770857810974
2,5,256,1.1,0.9,137.56493306159973
2,5,256,1.1,1,139.9498167037964
2,5,256,1.5,0.1,143.71656227111816
2,5,256,1.5,0.3,136.90662455558777
2,5,256,1.5,0.75,148.37672305107117
2,5,256,1.5,0.9,143.2365050315857
2,5,256,1.5,1,138.18566989898682
2,5,256,2.5,0.1,143.3397455215454
2,5,256,2.5,0.3,137.40335536003113
2,5,256,2.5,0.75,145.77792739868164
2,5,256,2.5,0.9,145.25882387161255
2,5,256,2.5,1,144.90618133544922
2,10,32,0.1,0.1,274.7400178909302
2,10,32,0.1,0.3,307.7714886665344
2,10,32,0.1,0.75,275.2652008533478
2,10,32,0.1,0.9,309.2047257423401
2,10,32,0.1,1,286.8655834197998
2,10,32,0.4,0.1,265.3063397407532
2,10,32,0.4,0.3,319.1871774196625
2,10,32,0.4,0.75,295.4932312965393
2,10,32,0.4,0.9,279.5016567707062
2,10,32,0.4,1,264.49682688713074
2,10,32,1.1,0.1,272.93536615371704
2,10,32,1.1,0.3,280.0770306587219
2,10,32,1.1,0.75,277.9750738143921
2,10,32,1.1,0.9,271.31502175331116
2,10,32,1.1,1,272.1611351966858
